filepath,processed_filepath,split,label,class_index,width,height,mode,image_format,file_size_bytes,raw_sha256,processed_sha256,status,note
../dataset/Forect Fire/Forest Fire_Dataset/train/fire/fire_train_1011.jpg,data/processed/train/fire/fire_train_1011.jpg,train,fire,0,250,250,RGB,JPEG,7156,06f9f9381a8699b189c80af1e0ecd51fc5b4854c7c221ff0537734332e1295c8,a58cf72f052fb85130682e8be2bf3d29e558996f445dc718776760129cf24a7b,ok,raw_size_not_target
../dataset/Forect Fire/Forest Fire_Dataset/train/fire/fire_train_1012.jpg,data/processed/train/fire/fire_train_1012.jpg,train,fire,0,250,250,RGB,JPEG,7309,4499d2da0c6c1c4f8dbaa4a22d753a6ba9ced9fc15c08df4ac0660d26fb359ad,ddc36afa0907adfcd6bea330facec064f4f6d1d6ea9033d0c1ba300146d5683c,ok,raw_size_not_target
../dataset/Forect Fire/Forest Fire_Dataset/train/fire/fire_train_1013.jpg,data/processed/train/fire/fire_train_1013.jpg,train,fire,0,250,250,RGB,JPEG,7479,60b6b197a6299d86aa29ff2992743db8501c713981ea3cbafcb19733b3fe6f86,e956defc6c6a05652b31f14a59ce746c7e110d0212c89daf60c9487ccaa6b9cf,ok,raw_size_not_target
../dataset/Forect Fire/Forest Fire_Dataset/train/fire/fire_train_1014.jpg,data/processed/train/fire/fire_train_1014.jpg,train,fire,0,250,250,RGB,JPEG,9451,543c1fd89ae4b780b4057876200b9dce38cb1207539552001eb129f9ea2be97b,affae47f2a7a3ca5e6a72e70b8b66c14c248db2aa8d32449a7f87bde43a171ff,ok,raw_size_not_target
../dataset/Forect Fire/Forest Fire_Dataset/train/fire/fire_train_1015.jpg,data/processed/train/fire/fire_train_1015.jpg,train,fire,0,250,250,RGB,JPEG,11760,5b2b0db22dba955b96bc20e3f7d71bb6c02f916d891750a0c37c49a5532de4bc,da883c2e1fe975578806b83e45220bc50e136fc3f69e9c22b0388cd2a7a5a1ef,ok,raw_size_not_target
../dataset/Forect Fire/Forest Fire_Dataset/train/fire/fire_train_1016.jpg,data/processed/train/fire/fire_train_1016.jpg,train,fire,0,250,250,RGB,JPEG,11715,ddfb6d20c3e9419aeb889f079a035b130c615c8ea55bccb39a28a21b913051a9,478dfb6010572404a41d2297a06b6ba43e23dc1f63e95bebe68d6ea44292f9f3,ok,raw_size_not_target
../dataset/Forect Fire/Forest Fire_Dataset/train/fire/fire_train_1017.jpg,data/processed/train/fire/fire_train_1017.jpg,train,fire,0,250,250,RGB,JPEG,13351,804a787164e507a3ea479635e19269a45833cdcf20e065367fc63b05285f9931,f36d47732fe00a05b64a60c54907e4bffe5d958465d03546dc66ae535a297f0a,ok,raw_size_not_target
../dataset/Forect Fire/Forest Fire_Dataset/train/fire/fire_train_1018.jpg,data/processed/train/fire/fire_train_1018.jpg,train,fire,0,250,250,RGB,JPEG,15220,15db517cb75e5b249dff9e44336c2841983cd4f1d07f19a0a75efcaf3b116945,b9513c9e73846fdd85b3bbc0cca597cbc85af2c827dc5616ca4675ad119af28a,ok,raw_size_not_target
../dataset/Forect Fire/Forest Fire_Dataset/train/fire/fire_train_1019.jpg,data/processed/train/fire/fire_train_1019.jpg,train,fire,0,250,250,RGB,JPEG,4953,66f83230785fe0c2e1c45a7cf00c4b046e6641737f7224df9b4f897867539cfa,a378dd84ebbce24d370eed1eb1ea3ae49c6f91acba124e7806b3fc9826f3f8f5,ok,raw_size_not_target
../dataset/Forect Fire/Forest Fire_Dataset/train/fire/fire_train_1020.jpg,data/processed/train/fire/fire_train_1020.jpg,train,fire,0,250,250,RGB,JPEG,8538,2475b6ad3a3a6f6e65183eb10811b6b25480c84907546140f0690d6112f085f2,688aebbe6606d21face3ed17f9dc32f3106eef4bb594ff05039a4e3368c5825c,ok,raw_size_not_target
../dataset/Forect Fire/Forest Fire_Dataset/train/fire/fire_train_1021.jpg,data/processed/train/fire/fire_train_1021.jpg,train,fire,0,250,250,RGB,JPEG,7596,334fdb97d9357875c5f72ea35e99563f18562e4103f11dbe15fffe00884a2a68,a7bb9f97f73e3426cc0344984620a580e3337fa24d5a7e1d0171690293bba61f,ok,raw_size_not_target
../dataset/Forect Fire/Forest Fire_Dataset/train/fire/fire_train_1022.jpg,data/processed/train/fire/fire_train_1022.jpg,train,fire,0,250,250,RGB,JPEG,5778,3a785c9eb42f4d9f97a4037a3f105f0240d398f22f2043409e6655aad1c0cc6b,db07dfd7414dbbddad700ecf1954709b16c42cfebd4f1446b66ee74a26959d13,ok,raw_size_not_target
../dataset/Forect Fire/Forest Fire_Dataset/train/fire/fire_train_1023.jpg,data/processed/train/fire/fire_train_1023.jpg,train,fire,0,250,250,RGB,JPEG,7100,03fb4cef9424113a9376ed4cbfab2205afb2f0c529c948978b321da8b546b2e7,cec6c360050681fefeb11bdecee7490cfecd00d9a64fbbf89a4bc0a84f985399,ok,raw_size_not_target
../dataset/Forect Fire/Forest Fire_Dataset/train/fire/fire_train_1024.jpg,data/processed/train/fire/fire_train_1024.jpg,train,fire,0,250,250,RGB,JPEG,9809,227e96b77b0a6cf92e4399145fb7b227926e902f53db240b91940f107f5bdabe,f8952597e9aab6180069800085c67e127f8f9eab5f0f4aa60ea7f7ecb246d0df,ok,raw_size_not_target
../dataset/Forect Fire/Forest Fire_Dataset/train/fire/fire_train_1025.jpg,data/processed/train/fire/fire_train_1025.jpg,train,fire,0,250,250,RGB,JPEG,6376,92262262d312a6d23f56b69981c0c34e799783967ddbf05de721e93b0e695041,3233a7e74e19665e84fb9a88a2e0b274ce0225c4a5592401ffdf746f62a7ca95,ok,raw_size_not_target
../dataset/Forect Fire/Forest Fire_Dataset/train/fire/fire_train_1026.jpg,data/processed/train/fire/fire_train_1026.jpg,train,fire,0,250,250,RGB,JPEG,13426,163b9352d323a7b7d47cbb6745945b4402180cb9f0ff3a4f91b48144c5b3ca44,65d1dd77a59b31119ea0d9f8ddef3b51cd85463941c9085c6404009c4c8a4d97,ok,raw_size_not_target
../dataset/Forect Fire/Forest Fire_Dataset/train/fire/fire_train_1027.jpg,data/processed/train/fire/fire_train_1027.jpg,train,fire,0,250,250,RGB,JPEG,13744,340376975ef42c8604f7ab55f29037583216326fb5ec036679458e36506e0079,194eb564e33d57bdc63575b8e724c9a835f809eb81bbaf63168685f76ef3f863,ok,raw_size_not_target
../dataset/Forect Fire/Forest Fire_Dataset/train/fire/fire_train_1028.jpg,data/processed/train/fire/fire_train_1028.jpg,train,fire,0,250,250,RGB,JPEG,12786,2793de3049cb18979e2aeb068bd7037051bab350c23febe9ee1de288a7a0a9da,772937f3340cbb1c113ba6c6083a481c2a4fadca93d8e5b4368aa22f5311394d,ok,raw_size_not_target
../dataset/Forect Fire/Forest Fire_Dataset/train/fire/fire_train_1029.jpg,data/processed/train/fire/fire_train_1029.jpg,train,fire,0,250,250,RGB,JPEG,10418,29f572c480486b05fcb5f0c8ac21101bca82c2fbfd0e4ed2924df1cb35d57e8a,e3182d9f8ec50c30f42876bd8a972ab03be206b8a9358e0be7ffce764914fe4c,ok,raw_size_not_target
../dataset/Forect Fire/Forest Fire_Dataset/train/fire/fire_train_1030.jpg,data/processed/train/fire/fire_train_1030.jpg,train,fire,0,250,250,RGB,JPEG,9681,3354ba208a2252b36190ff51296cf6fabb64b72a40a179fd83df810b2ba9c0c9,dbe59bac6bdcd529fe2362d0ccd78eaa791b4b1f76d55509439004b73866294e,ok,raw_size_not_target
../dataset/Forect Fire/Forest Fire_Dataset/train/fire/fire_train_1031.jpg,data/processed/train/fire/fire_train_1031.jpg,train,fire,0,250,250,RGB,JPEG,12691,fc1885e433d649dac74430db9276f087e9bfb24c1692897fece1de261b728f3b,359190f1cbc134493939270a1a5ea1f27a36b19d437c7b64f51ca1e43fc67432,ok,raw_size_not_target
../dataset/Forect Fire/Forest Fire_Dataset/train/fire/fire_train_1032.jpg,data/processed/train/fire/fire_train_1032.jpg,train,fire,0,250,250,RGB,JPEG,11082,b6be9f7b8b9bdaadc323d0c15ce269e50ef001c90b6f9a57812c9b02698d2b08,daaf31465b50bd7b429c3d93c7be89733e7650cce577c5760491368627ceaaf9,ok,raw_size_not_target
../dataset/Forect Fire/Forest Fire_Dataset/train/fire/fire_train_1033.jpg,data/processed/train/fire/fire_train_1033.jpg,train,fire,0,250,250,RGB,JPEG,9027,9bb62939aa5a2fbeaea691a09d81ba05de62bc7b45c7baf49d9bdb36ee538721,1cc51ca38992ddea33270ce4fd2d3daec5abde21fd2f5adc39b2a324378c9e2a,ok,raw_size_not_target
../dataset/Forect Fire/Forest Fire_Dataset/train/fire/fire_train_1034.jpg,data/processed/train/fire/fire_train_1034.jpg,train,fire,0,250,250,RGB,JPEG,4764,775fcc159761f454f51edb7ae79011706226c886c9b4f0b2b9548e52e3bb9c97,d08379da5b70478c72d9f237e52f4cc5c630ce90b425b84d7803dacce65821d7,ok,raw_size_not_target
../dataset/Forect Fire/Forest Fire_Dataset/train/fire/fire_train_1035.jpg,data/processed/train/fire/fire_train_1035.jpg,train,fire,0,250,250,RGB,JPEG,15531,c3375f63bbc3f88f669584c3aa634a65fa2bb1504fc38569c9cb81b4062cb7c2,42346324cf3aa713c74cedc0f7d984274487937523399e9b8978387c03047e6d,ok,raw_size_not_target
../dataset/Forect Fire/Forest Fire_Dataset/train/fire/fire_train_1036.jpg,data/processed/train/fire/fire_train_1036.jpg,train,fire,0,250,250,RGB,JPEG,7457,01ca5a863863d93b9bfecbe25cc1eccbdb061160c88ac855756661a3a6423a84,2cdae2bcca2658c8d8ca3491175f86b031c54121d0ea1a420b74b51bcf3514bb,ok,raw_size_not_target
../dataset/Forect Fire/Forest Fire_Dataset/train/fire/fire_train_1037.jpg,data/processed/train/fire/fire_train_1037.jpg,train,fire,0,250,250,RGB,JPEG,18743,f7ec6db05f0e2b528442b9350a74e108faff84e3b2db41873911967ffd237e63,efe0eb1e402ff3b51c4a64c273926f522d3556c8590de8358755fb7e36b59bf4,ok,raw_size_not_target
../dataset/Forect Fire/Forest Fire_Dataset/train/fire/fire_train_1038.jpg,data/processed/train/fire/fire_train_1038.jpg,train,fire,0,250,250,RGB,JPEG,14680,063da03339847b472bcb52eb8bdb46c0635d4af2f2adce18fccf56e10dd3f0dd,9f89e06f0e0ee5045d756f38cdaff3235aa202bb41c09406653b5f14d28f3ec7,ok,raw_size_not_target
../dataset/Forect Fire/Forest Fire_Dataset/train/fire/fire_train_1039.jpg,data/processed/train/fire/fire_train_1039.jpg,train,fire,0,250,250,RGB,JPEG,10707,1ae0a31060ffaab89a79ffd98429fae6649b9c9cb1c7528ce003b370072ae074,c39f2e606247ef7a2423c8ba4d6ba7f1061406e2ca2faa00bde6a8efc7967153,ok,raw_size_not_target
../dataset/Forect Fire/Forest Fire_Dataset/train/fire/fire_train_1040.jpg,data/processed/train/fire/fire_train_1040.jpg,train,fire,0,250,250,RGB,JPEG,7002,403e0e2fcaa428da6c129279d9afc1adc1eded7c0a7a5ed82a68ed06ea32bdc7,34e1e92d37af87bbf29bb046f57082eb87d54ae429c48605f2064e250e1d2758,ok,raw_size_not_target
../dataset/Forect Fire/Forest Fire_Dataset/train/fire/fire_train_1041.jpg,data/processed/train/fire/fire_train_1041.jpg,train,fire,0,250,250,RGB,JPEG,7747,ad5fe0c8fc407377eb0268831f5099db7002b834ead1726ff609992e264ddbf1,78da99a6a1848cc5c1cc8530e45819d04c0a6bc00b4f1b7db499ca7c9c7bafc0,ok,raw_size_not_target
../dataset/Forect Fire/Forest Fire_Dataset/train/fire/fire_train_1042.jpg,data/processed/train/fire/fire_train_1042.jpg,train,fire,0,250,250,RGB,JPEG,6627,e62ddcbd860368ee66108d60b530e6540e231bf64c5d19a786241f41d2dc71cf,a9d83244a365ea51bbc8f5055ab158b5250b4a74e9ac7e375b02b511818d16fc,ok,raw_size_not_target
../dataset/Forect Fire/Forest Fire_Dataset/train/fire/fire_train_1043.jpg,data/processed/train/fire/fire_train_1043.jpg,train,fire,0,250,250,RGB,JPEG,7400,2e0c2d6e7a749efb7834ad562f9ff3e60aa63102f76a38dc6b46b73359718da0,1656f6e2c27dcdd69a20cfe24af35b5300c7d4257ff233a85971b58d8177ccc3,ok,raw_size_not_target
../dataset/Forect Fire/Forest Fire_Dataset/train/fire/fire_train_1044.jpg,data/processed/train/fire/fire_train_1044.jpg,train,fire,0,250,250,RGB,JPEG,8868,4d006b7d29e1e68078aed718b0eac317e54fa97235980dcc97f46ffe436656e6,890fb38be0b5e2e6384173a71c1d9aefef1aa5c5291ecfee9b62e5750009dd9c,ok,raw_size_not_target
../dataset/Forect Fire/Forest Fire_Dataset/train/fire/fire_train_1045.jpg,data/processed/train/fire/fire_train_1045.jpg,train,fire,0,250,250,RGB,JPEG,5904,0b67d439fa2272592a0dbe6dfcc3b77831ea8eea41409b6d7a8af73047b63970,13cb8ae7cc275767716d3c326ecfaffbbd483b24eba3267fd8930285a77fabf4,ok,raw_size_not_target
../dataset/Forect Fire/Forest Fire_Dataset/train/fire/fire_train_1046.jpg,data/processed/train/fire/fire_train_1046.jpg,train,fire,0,250,250,RGB,JPEG,9111,841588773bc252d7e2f59c9f69e92aa5413b077d8063ce61ba72a603dc9479db,9d6202aa78fa150cb1699a4314071883e354f4c1f66fe5ac56e149bbde919479,ok,raw_size_not_target
../dataset/Forect Fire/Forest Fire_Dataset/train/fire/fire_train_1047.jpg,data/processed/train/fire/fire_train_1047.jpg,train,fire,0,250,250,RGB,JPEG,5435,3433504eb556405198fd2da6a60c0a0b28570c5a189671ad96b598b8c436e8c7,d5d0c09e4545042c41b323edc1f1d7212db17176924b1760359710ab43fa0104,ok,raw_size_not_target
../dataset/Forect Fire/Forest Fire_Dataset/train/fire/fire_train_1048.jpg,data/processed/train/fire/fire_train_1048.jpg,train,fire,0,250,250,RGB,JPEG,12940,1cb6572150bd0e46ecddbea83c01c4932c53f41a67386f6483ff2910028f6762,fdebd9c3e5b74d86a8b85d9341c7ce4d86e3d6583a8cd111b4a4bcc2ec1368b0,ok,raw_size_not_target
../dataset/Forect Fire/Forest Fire_Dataset/train/fire/fire_train_1049.jpg,data/processed/train/fire/fire_train_1049.jpg,train,fire,0,250,250,RGB,JPEG,11993,488f479081abb0765c4b32c218248812dd2be27d575f9f261de12459065668b7,8fa365c0f0902ce6659fdf7511801d538f7c616106d4738dd633e11529742aed,ok,raw_size_not_target
../dataset/Forect Fire/Forest Fire_Dataset/train/fire/fire_train_1050.jpg,data/processed/train/fire/fire_train_1050.jpg,train,fire,0,250,250,RGB,JPEG,13417,eac0add92bfbaeaed46552bbbc57c85c2b748655216c62703fcb129ae81c3d3b,4e430f352e64ed02a432f8688b099cd34ea307d2fc5cca274e6b40b2be552479,ok,raw_size_not_target
../dataset/Forect Fire/Forest Fire_Dataset/train/fire/fire_train_1051.jpg,data/processed/train/fire/fire_train_1051.jpg,train,fire,0,250,250,RGB,JPEG,6924,c0937deda54e8fb7606c72087f724d8b8f64f9743e929218a1717747ae082f35,95507042a9360df4cea087f1538b521ba53357394dbb5eb378eb0d72d4967477,ok,raw_size_not_target
../dataset/Forect Fire/Forest Fire_Dataset/train/fire/fire_train_1052.jpg,data/processed/train/fire/fire_train_1052.jpg,train,fire,0,250,250,RGB,JPEG,15590,9cc64fea5f2702a9128721fedb5eb3e0d6e79a99a067d3bb95ddf622b94968e3,65abbc1298418b9979299756a69fabca98a3f92cb91767bdcd49cfa9fefacb8f,ok,raw_size_not_target
../dataset/Forect Fire/Forest Fire_Dataset/train/fire/fire_train_1053.jpg,data/processed/train/fire/fire_train_1053.jpg,train,fire,0,250,250,RGB,JPEG,10047,48d9bf5502c7719893daf86af6b9ae33a57d18232689bc160e87d052e4851c34,98c048f36c2ae021a048638e15ac07eb758d67a1e5f99f37afae936ea3dc4345,ok,raw_size_not_target
../dataset/Forect Fire/Forest Fire_Dataset/train/fire/fire_train_1054.jpg,data/processed/train/fire/fire_train_1054.jpg,train,fire,0,250,250,RGB,JPEG,6880,34ea889d0a115d72d440849ee8f9cb386c9de677d166c92e6f6c385c63515c97,8b41a88086a7fcee367d100eaefbee4feab3f253160d9a24b46e99e5b4108f4e,ok,raw_size_not_target
../dataset/Forect Fire/Forest Fire_Dataset/train/fire/fire_train_1055.jpg,data/processed/train/fire/fire_train_1055.jpg,train,fire,0,250,250,RGB,JPEG,5714,995950296c8d67157a938b7c01bf6b3415c39040ea039954cbda1a4df11b32af,71b72ddfa82a39297772d75eadea134bf2844ad5cbe087f9523acdb353eaa36b,ok,raw_size_not_target
../dataset/Forect Fire/Forest Fire_Dataset/train/fire/fire_train_1056.jpg,data/processed/train/fire/fire_train_1056.jpg,train,fire,0,250,250,RGB,JPEG,5390,1feacc3fca33903e118d3b6518c0ff994575bef0c4150bc4fd77d6fe547a7f8c,6334dfd595c5dc3fbc6c04eb6a3f2e3d25bc17a30a99fc9af60303dfbb8afd80,ok,raw_size_not_target
../dataset/Forect Fire/Forest Fire_Dataset/train/fire/fire_train_1057.jpg,data/processed/train/fire/fire_train_1057.jpg,train,fire,0,250,250,RGB,JPEG,11275,a5a571a1e1b8e810bb4c16e7fb0118ef4a3926fe1b97b04edccaf6eff982721d,38d6d0519f581be91428b96038659e905a42f89830f6c72d0e85788d52217eb3,ok,raw_size_not_target
../dataset/Forect Fire/Forest Fire_Dataset/train/fire/fire_train_1058.jpg,data/processed/train/fire/fire_train_1058.jpg,train,fire,0,250,250,RGB,JPEG,15748,877d359e91cb64aef8d76dc0ea3ba325b19ebbb7252fa51a5fc578d0327e946f,06ea560544d51a035d9f12e541c06954263508f6e24aa3137ad13d35b654a6f3,ok,raw_size_not_target
../dataset/Forect Fire/Forest Fire_Dataset/train/fire/fire_train_1059.jpg,data/processed/train/fire/fire_train_1059.jpg,train,fire,0,250,250,RGB,JPEG,7665,d7072fc5be608dd94fa07637d1cd0c9351a882db8b30cd3f34a120c608c070df,3ed3e3b32ad7ccd3ac720b0b327b6a2a3bf67ddc6100062583704525147384a7,ok,raw_size_not_target
../dataset/Forect Fire/Forest Fire_Dataset/train/fire/fire_train_1060.jpg,data/processed/train/fire/fire_train_1060.jpg,train,fire,0,250,250,RGB,JPEG,7389,1bcef771aeea9b194441eb1499311d78ab4efd2a4dcf42ce5ac57b4678a069b4,21e8bb7aa0157abdecb625d836a3a96ba32aabee0c4f9045469bf7c7b6293f77,ok,raw_size_not_target
../dataset/Forect Fire/Forest Fire_Dataset/train/fire/fire_train_1061.jpg,data/processed/train/fire/fire_train_1061.jpg,train,fire,0,250,250,RGB,JPEG,6683,51bd08f61663f92c38be709b67dfc7daf38241f0c5332854c09607b91c45751f,8b15b2931e5feee7e528682e3af7afcc568743bdcefd4492ea8c1acfa092d16a,ok,raw_size_not_target
../dataset/Forect Fire/Forest Fire_Dataset/train/fire/fire_train_1062.jpg,data/processed/train/fire/fire_train_1062.jpg,train,fire,0,250,250,RGB,JPEG,11201,10f8c5f44f65315d0e2532d38d6bceeb2ca9540e251bbb4b760c156df33a41c3,e72ef5fdf1c7319110890b46c6be30e921c3a17d78a5c7fab7315edd9f93f575,ok,raw_size_not_target
../dataset/Forect Fire/Forest Fire_Dataset/train/fire/fire_train_1063.jpg,data/processed/train/fire/fire_train_1063.jpg,train,fire,0,250,250,RGB,JPEG,11327,88a9cba87d04359773338c72e79b036aebe49ece4f787fd976ae3a21dab2c4a4,7dcd29a35faa0cdf9ecaad8fd0ad3745823ce5b2401f0e0003a8c6dc49da382a,ok,raw_size_not_target
../dataset/Forect Fire/Forest Fire_Dataset/train/fire/fire_train_1064.jpg,data/processed/train/fire/fire_train_1064.jpg,train,fire,0,250,250,RGB,JPEG,9575,387d713564b0a235a81c6c60d201dc74b89ff313ce8faae50ddb9a7d4fc16495,feb07f4ba4fc2d8c16cbc144aeffc44789b72b4403968c300913c066e5b23266,ok,raw_size_not_target
../dataset/Forect Fire/Forest Fire_Dataset/train/fire/fire_train_1065.jpg,data/processed/train/fire/fire_train_1065.jpg,train,fire,0,250,250,RGB,JPEG,5341,245967f39cf6ac03627012f543dae24c370e6866a42f089513110c7de26aa872,1a33ec4d16e5f73b29ff2932025336de3c29969fca4da8d510e2ff504dcc571e,ok,raw_size_not_target
../dataset/Forect Fire/Forest Fire_Dataset/train/fire/fire_train_1066.jpg,data/processed/train/fire/fire_train_1066.jpg,train,fire,0,250,250,RGB,JPEG,12533,9f1760b99f2975604d3ec2388dd45cce5b3a930693d490af4f56f7d3e42575a4,3bb2ac5ccd444568d50abc74418df620c8d7c53f7fb812d3b7f5d3c0f5cafece,ok,raw_size_not_target
../dataset/Forect Fire/Forest Fire_Dataset/train/fire/fire_train_1067.jpg,data/processed/train/fire/fire_train_1067.jpg,train,fire,0,250,250,RGB,JPEG,7751,c6fe601285251e3e015a250b75465b779dd55e493281451819d3f46d041488d7,c8fbcfa3e273ddce5b563a8540da913499f89c9eef7788cbd4d5e9125e7362c2,ok,raw_size_not_target
../dataset/Forect Fire/Forest Fire_Dataset/train/fire/fire_train_1068.jpg,data/processed/train/fire/fire_train_1068.jpg,train,fire,0,250,250,RGB,JPEG,12227,e678324191da9e0b0bf6efcb23b0e20851b95ec9e17ad6e68203fc1157d9b242,aa33fec5377dd81f44b6aa2a0b860cfd7a5f43b1cf9179f1f92c6e6190621c2a,ok,raw_size_not_target
../dataset/Forect Fire/Forest Fire_Dataset/train/fire/fire_train_1069.jpg,data/processed/train/fire/fire_train_1069.jpg,train,fire,0,250,250,RGB,JPEG,8050,93e311c4676f31770181324011ac455fb491b3daac6c72120a3030d9916e89a7,ec65efaa1ae631f144afb22bb5281a83944cffc16b9b909f7b39e687e42b46c1,ok,raw_size_not_target
../dataset/Forect Fire/Forest Fire_Dataset/train/fire/fire_train_1070.jpg,data/processed/train/fire/fire_train_1070.jpg,train,fire,0,250,250,RGB,JPEG,10832,d2247231a4964aec6e9acd177e7526a60c1a7584b833ad0edbeb8643bb212848,4f11396ac0c1e0b53b34a4e5f142096b8c4adccb842772b150f943d6913e4e9b,ok,raw_size_not_target
../dataset/Forect Fire/Forest Fire_Dataset/train/fire/fire_train_1071.jpg,data/processed/train/fire/fire_train_1071.jpg,train,fire,0,250,250,RGB,JPEG,8417,24d9bb107fa9f646bb398986f701130a2d2720c577dae2cf8ad8eb274b6c83a8,c084969dd526163606f6933057d9e6047967f70aa955572c38cf803cd0abd994,ok,raw_size_not_target
../dataset/Forect Fire/Forest Fire_Dataset/train/fire/fire_train_1072.jpg,data/processed/train/fire/fire_train_1072.jpg,train,fire,0,250,250,RGB,JPEG,5221,617755cfdb2176756ed0e6ae713bec989acae67ffb21b0eaf0db9b88c79f7bba,7e97196890c380f0a986e06a711c2d189c6b3c87160f95af631875d21ae1a068,ok,raw_size_not_target
../dataset/Forect Fire/Forest Fire_Dataset/train/fire/fire_train_1073.jpg,data/processed/train/fire/fire_train_1073.jpg,train,fire,0,250,250,RGB,JPEG,15561,c48da8d000c02b2e673f978c6cb0c1ac454c160d85a877011feb22c183f31e86,690984531ac7268131959cb0458ee5cbcad379a36b826ea85308fb66b2372b59,ok,raw_size_not_target
../dataset/Forect Fire/Forest Fire_Dataset/train/fire/fire_train_1074.jpg,data/processed/train/fire/fire_train_1074.jpg,train,fire,0,250,250,RGB,JPEG,15850,e3a393e6f344d4ca354efbd1a29f899c0257107d81e3771c01866196326f3ea6,eb46ee1d7ac7c5a18fbf962395c3bb600c5eb698aec2b8b7eaea13c70db90ca6,ok,raw_size_not_target
../dataset/Forect Fire/Forest Fire_Dataset/train/fire/fire_train_1075.jpg,data/processed/train/fire/fire_train_1075.jpg,train,fire,0,250,250,RGB,JPEG,5703,b04b7afadda88ba9689d35a82efcbfca08a63297e11a0e30d20652ef7ea2c306,9a481c751d8027529e337db84356ce8c38343ecd3c9dc1935349b3518a620772,ok,raw_size_not_target
